Sample	Count
MCW_CT_ROA_78	202591
MCW_CT_ROA_79	168860
MCW_CT_ROA_81	140547
MCW_CT_ROA_082	95741
MCW_CT_ROA_84	234394
MCW_CT_ROA_85	137266
MCW_CT_ROA_87	163079
MCW_CT_ROA_88	76372
MCW_CT_ROA_090	204220
MCW_CT_ROA_091	123752
MCW_CT_ROA_093	168247
MCW_CT_ROA_94	94710
MCW_CT_ROA_96	107951
MCW_CT_ROA_97	72198
MCW_CT_ROA_99	87795
MCW_CT_ROA_100	112580
MCW_CT_ROA_102	118926
MCW_CT_ROA_103	46620
MCW_CT_ROA_105	139366
MCW_CT_ROA_106	157329
MCW_CT_ROA_108	246975
MCW_CT_ROA_109	164028
MCW_CT_ROA_111	132792
MCW_CT_ROA_112	100738
MCW_CT_ROA_114	235065
MCW_CT_ROA_115	264189
MCW_CT_ROA_117	152203
MCW_CT_ROA_118	155882
MCW_CT_ROA_120	220995
MCW_CT_ROA_121	165448
MCW_CT_ROA_169	320858
MCW_CT_ROA_171	231009
MCW_CT_ROA_172	186735
MCW_CT_ROA_174	84169
MCW_CT_ROA_175	23894
MCW_CT_ROA_177	260123
MCW_CT_ROA_178	153762
MCW_CT_ROA_180	159179
MCW_CT_ROA_181	152010
MCW_CT_ROA_183	198679
MCW_CT_ROA_184	217546
MCW_CT_ROA_186	220005
MCW_CT_ROA_189	288420
MCW_CT_ROA_190	218321
MCW_CT_ROA_192	276504
MCW_CT_ROA_193	81737
MCW_CT_ROA_195	239004
MCW_CT_ROA_196	203401
MCW_CT_ROA_198	171633
MCW_CT_ROA_199	113851
MCW_CT_ROA_201	171993
MCW_CT_ROA_202	168536
MCW_CT_ROA_204	387931
MCW_CT_ROA_205	281148
MCW_CT_ROA_207	360518
MCW_CT_ROA_208	210923
MCW_CT_ROA_210	194262
MCW_CT_ROA_211	205753
MCW_CT_ROA_123	162773
MCW_CT_ROA_124	84368
MCW_CT_ROA_126	263888
MCW_CT_ROA_127	85424
MCW_CT_ROA_130	121805
MCW_CT_ROA_132	143238
MCW_CT_ROA_133	165339
MCW_CT_ROA_135	119669
MCW_CT_ROA_136	217243
MCW_CT_ROA_138	156898
MCW_CT_ROA_139	240621
MCW_CT_ROA_141	188785
MCW_CT_ROA_142	121942
MCW_CT_ROA_144	119104
MCW_CT_ROA_145	268116
MCW_CT_ROA_147	126913
MCW_CT_ROA_148	149426
MCW_CT_ROA_150	185445
MCW_CT_ROA_151	67905
MCW_CT_ROA_153	231183
MCW_CT_ROA_154	130888
MCW_CT_ROA_156	184478
MCW_CT_ROA_157	193176
MCW_CT_ROA_159	200338
MCW_CT_ROA_160	191471
MCW_CT_ROA_162	273539
MCW_CT_ROA_163	216318
MCW_CT_ROA_165	169274
MCW_CT_ROA_166	160916
MCW_CT_ROA_213	135991
MCW_CT_ROA_214	69901
MCW_CT_ROA_217	151708
MCW_CT_ROA_219	227005
MCW_CT_ROA_220	140450
MCW_CT_ROA_222	328919
MCW_CT_ROA_223	344766
MCW_CT_ROA_225	81262
MCW_CT_ROA_226	137496
MCW_CT_ROA_228	39516
MCW_CT_ROA_229	140269
MCW_CT_ROA_231	344973
MCW_CT_ROA_232	100646
MCW_CT_ROA_234	101296
MCW_CT_ROA_235	133756
MCW_CT_ROA_237	203403
MCW_CT_ROA_238	315257
MCW_CT_ROA_240	176269
MCW_CT_ROA_241	276994
MCW_CT_ROA_243	161571
MCW_CT_ROA_244	141722
MCW_CT_ROA_246	276076
MCW_CT_ROA_247	183542
MCW_CT_ROA_249	157464
MCW_CT_ROA_250	388741
MCW_CT_ROA_252	218599
MCW_CT_ROA_253	297480
MCW_CT_ROA_255	260303
MCW_CT_ROA_256	117136
